,node,score
0,22979,1.0623663557458065
1,10164,1.0595179965730828
2,83004,1.0582626645218152
3,93212,1.0575625415295824
4,53697,1.0569928915510918
5,93800,1.0568200189000954
6,66589,1.0552053552769314
7,43624,1.0551072074548058
8,13336,1.0550634610655856
9,74817,1.0527775703967448
,node,score
0,40481,1.0600680545252577
1,94052,1.060045321003258
2,70279,1.0578527002656428
3,77231,1.0576080496845663
4,89403,1.0567805729455737
5,57817,1.055620932531122
6,10444,1.0552572749546187
7,58113,1.0538118191731922
8,50163,1.053811504260591
9,51319,1.0532039851799304
,node,score
0,9127,1.066663533638138
1,64136,1.0643460437424073
2,20806,1.060559166705525
3,36279,1.0601112307553848
4,94901,1.0591932400440711
5,63791,1.059158574203627
6,76942,1.0585417889746462
7,71595,1.0580723944377235
8,47947,1.0561561170075786
9,85009,1.0560862380942038
,node,score
0,22979,1.0623663557458065
1,10164,1.0595179965730828
2,83004,1.0582626645218152
3,93212,1.0575625415295824
4,53697,1.0569928915510918
5,93800,1.0568200189000954
6,66589,1.0552053552769314
7,43624,1.0551072074548058
8,13336,1.0550634610655856
9,74817,1.0527775703967448
,node,score
0,40481,1.0600680545252577
1,94052,1.060045321003258
2,70279,1.0578527002656428
3,77231,1.0576080496845663
4,89403,1.0567805729455737
5,57817,1.055620932531122
6,10444,1.0552572749546187
7,58113,1.0538118191731922
8,50163,1.053811504260591
9,51319,1.0532039851799304
,node,score
0,9127,1.066663533638138
1,64136,1.0643460437424073
2,20806,1.060559166705525
3,36279,1.0601112307553848
4,94901,1.0591932400440711
5,63791,1.059158574203627
6,76942,1.0585417889746462
7,71595,1.0580723944377235
8,47947,1.0561561170075786
9,85009,1.0560862380942038
